RTECH SPARTAN PRODUCT HUB — one row per shared product,,,,,,,,,,,,,,,,,,,,,,,,,,
"Add a product once here. Then add as many variants as you want in 02_Variant_Engine. Shared name, description, links, and images flow automatically.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID,Product Family,Base Product Name,Category,Shared Supplier URL,Default Supplier Shipping (KES),Default Tax/Duties (KES),Default Payment Fee %,Default Buffer (KES),Default Desired Profit (KES),Default Store Shipping Shown (KES),Ship Included? (Y/N),Default Weight (lbs),Default Lead Time (days),Shared Short Description,Shared Long Description,Image1,Image2,Image3,Image4,Image Folder,Codex Handle,Search Tags,Price Status,Active?,Legacy RTech SKU,Legacy Kilimall SKU/ID
P001,10 Inch Ring Light With 7ft Tripod Stand,10 Inch Ring Light With 7ft (210CM) Tripod Stand,creator-gear,https://www.kilimall.co.ke/listing/2729104,699,,0.03,100,300,,N,0.5,3-5,"For creators who want clean shots and steady takes. Stable base for calls, photos, and content. Better lighting for pro-looking videos. M‑Pe","For creators who want clean shots and steady takes. Stable base for calls, photos, and content. Better lighting for pro-looking videos. M‑Pesa friendly checkout and fast support on WhatsApp. It is a simple win for creators, online sellers, and remote workers who want cleaner lighting without overcomplicating the setup. The tripod gives better placement freedom, while the light helps faces, products, and close shots look brighter and more polished.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-2729104\RT-LT-RL10-2729104-01.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-2729104\RT-LT-RL10-2729104-02.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-2729104\RT-LT-RL10-2729104-04.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-2729104\RT-LT-RL10-2729104-03.png""",assets/img/products/10-inch-ring-light-with-7ft-tripod-stand/,glowforge-creator-ring-light-kit-10inch,10 Inch Ring Light With 7ft Tripod Stand 10 Inch Ring Light With 7ft (210CM) Tripod Stand creator-gear white,✓ Ready,Y,RT-LT-RL10-2729104,19048033
P002,Universal 14inch LED Ring Light + 2.1m Tripod Stand,Universal 14inch LED Ring Light + 2.1m Tripod Stand (YouTube/TikTok),creator-gear,https://www.kilimall.co.ke/listing/3036323-14-Inch-RGB-Ring-Light-with-82-Tripod-2500K8500K-Dimmable-LED-RingLight-3-Color-Modes-10-Brightness-Level-for-YouTube-Live-TikTok-Video-Recording-14INCH,,,0.03,100,300,,N,0.5,3-5,"For creators who want clean shots and steady takes. Stable base for calls, photos, and content. Better lighting for pro-looking videos. M‑Pe","For creators who want clean shots and steady takes. Stable base for calls, photos, and content. Better lighting for pro-looking videos. M‑Pesa friendly checkout and fast support on WhatsApp. It is a simple win for creators, online sellers, and remote workers who want cleaner lighting without overcomplicating the setup. The tripod gives better placement freedom, while the light helps faces, products, and close shots look brighter and more polished.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL14-3088147\RT-LT-RL14-3088147-01.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL14-3088147\RT-LT-RL14-3088147-03.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL14-3088147\RT-LT-RL14-3088147-04.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL14-3088147\RT-LT-RL14-3088147-02.png""",assets/img/products/universal-14inch-led-ring-light-+-2.1m-tripod-stand/,glowforge-creator-ring-light-kit-14inch,Universal 14inch LED Ring Light + 2.1m Tripod Stand Universal 14inch LED Ring Light + 2.1m Tripod Stand (YouTube/TikTok) creator-gear 14inch,✓ Ready,Y,RT-LT-RL14-3088147,19904327
P003,10 Inch Ring Light + 7ft Tripod,"10 Inch Ring Light + 7ft Tripod (3 Color Modes, 10 Brightness Levels)",creator-gear,https://www.kilimall.co.ke/listing/1001714545-10-Inch-Ring-Light-with-7ft-Adjustable-Tripod-Stand-3-Color-Modes-10-Brightness-Levels-Perfect-for-TikTok-YouTube-Live-Streaming-Makeup-Podcasts-Studio-Lighting-and-Video-Shooting,,,0.03,100,300,,N,0.5,3-5,"For creators who want clean shots and steady takes. Stable base for calls, photos, and content. Better lighting for pro-looking videos. M‑Pe","For creators who want clean shots and steady takes. Stable base for calls, photos, and content. Better lighting for pro-looking videos. M‑Pesa friendly checkout and fast support on WhatsApp. It is a simple win for creators, online sellers, and remote workers who want cleaner lighting without overcomplicating the setup. The tripod gives better placement freedom, while the light helps faces, products, and close shots look brighter and more polished.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-1001714545\RT-LT-RL10-1001714545-06.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-1001714545\RT-LT-RL10-1001714545-04-2.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-1001714545\RT-LT-RL10-1001714545-04-1.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-1001714545\RT-LT-RL10-1001714545-05.png""",assets/img/products/10-inch-ring-light-+-7ft-tripod/,glowforge-creator-ring-light-kit-10inch,"10 Inch Ring Light + 7ft Tripod 10 Inch Ring Light + 7ft Tripod (3 Color Modes, 10 Brightness Levels) creator-gear Black",✓ Ready,Y,RT-LT-RL10-1001714545,19353815
P004,Heavy Duty Tripod Stand For Camera & Phones With Phone Holder - 1.2 Meters Tall Tripod,Heavy Duty Tripod Stand For Camera & Phones With Phone Holder - 1.2 Meters Tall Tripod,creator-gear,https://www.kilimall.co.ke/listing/2910043-Tripod-Stand-For-Camera-Phones-With-Phone-Holder-12-Meters-Tall-Tripod,,,0.03,100,300,,N,0.5,3-5,"For creators who want clean shots and steady takes. Stable base for calls, photos, and content. M‑Pesa friendly checkout and fast support on","For creators who want clean shots and steady takes. Stable base for calls, photos, and content. M‑Pesa friendly checkout and fast support on WhatsApp. It helps keep the phone visible, secure, and easier to use for navigation, calls, and quick stops on the road. A good holder is one of those small upgrades that quietly makes every drive better.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-HD-1001451835\RT-TR-HD-1001451835-01.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-HD-1001451835\RT-TR-HD-1001451835-02.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-HD-1001451835\RT-TR-HD-1001451835-04.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-HD-1001451835\RT-TR-HD-1001451835-05.png""",assets/img/products/heavy-duty-tripod-stand-for-camera-&-phones-with-phone-holder--1.2-meters-tall-tripod/,steadycore-pro-tripod-stand,Heavy Duty Tripod Stand For Camera & Phones With Phone Holder - 1.2 Meters Tall Tripod Heavy Duty Tripod Stand For Camera & Phones With Phone Holder - 1.2 Meters Tall Tripod creator-gear Black,✓ Ready,Y,RT-TR-HD-1001451835,19578108
P005,3366 Phone/SLR Camera Tripod Stand Max Height 1.4M,3366 Phone/SLR Camera Tripod Stand Max Height 1.4M,creator-gear,https://www.kilimall.co.ke/listing/2713243,,,0.03,100,300,,N,0.5,3-5,"For creators who want clean shots and steady takes. Stable base for calls, photos, and content. M‑Pesa friendly checkout and fast support on","For creators who want clean shots and steady takes. Stable base for calls, photos, and content. M‑Pesa friendly checkout and fast support on WhatsApp. It is designed to make daily use feel easier, cleaner, and more reliable, whether the product lives on a desk, in a bag, in a car, or on the move. The idea is simple: practical gear, better value, and a setup that feels thought through instead of rushed.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-3366-2713243\RT-TR-3366-2713243-01.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-3366-2713243\RT-TR-3366-2713243-02.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-3366-2713243\RT-TR-3366-2713243-04.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-3366-2713243\RT-TR-3366-2713243-05.png""",assets/img/products/3366-phone-slr-camera-tripod-stand-max-height-1.4m/,steadycore-pro-tripod-stand,3366 Phone/SLR Camera Tripod Stand Max Height 1.4M 3366 Phone/SLR Camera Tripod Stand Max Height 1.4M creator-gear Black,✓ Ready,Y,RT-TR-3366-2713243,18765011
P006,Car Suction Cup Phone Holder,"Car Suction Cup Phone Holder (Long Neck, Dashboard/Windshield)",accessories-car-mounts,https://www.kilimall.co.ke/listing/1000154228,,,0.03,100,300,,N,0.5,3-5,"Built for everyday use in Kenya. Quality build, easy to use, ready for daily work. M‑Pesa friendly checkout and fast support on WhatsApp.","Built for everyday use in Kenya. Quality build, easy to use, ready for daily work. M‑Pesa friendly checkout and fast support on WhatsApp. It helps keep the phone visible, secure, and easier to use for navigation, calls, and quick stops on the road. A good holder is one of those small upgrades that quietly makes every drive better.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-1000154228\RT-HLD-CAR-1000154228-01-3.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-1000154228\RT-HLD-CAR-1000154228-01-06.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-1000154228\RT-HLD-CAR-1000154228-02-2.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-1000154228\RT-HLD-CAR-1000154228-02.jpg""",assets/img/products/car-suction-cup-phone-holder/,gripdrive-phone-holder,"Car Suction Cup Phone Holder Car Suction Cup Phone Holder (Long Neck, Dashboard/Windshield) accessories-car-mounts Black",✓ Ready,Y,RT-HLD-CAR-1000154228,10000380328
P007,Oraimo Hydra 3 Universal Car Phone Holder + Gift Car Charger,Oraimo Hydra 3 Universal Car Phone Holder (Long Arm) + Gift Car Charger,accessories-car-mounts,https://www.kilimall.co.ke/listing/1001760680-SPECIAL-OFFER-Oraimo-Hydra-3-Stable-Safe-Universal-Car-Phone-Holder-Long-Arm360Adjustable-Magnet-HeadCompatible-with-Phones-of-Various-Sizes-with-a-GIFT-of-Oraimo-Highway-15-155W-Car-Charger,,,0.03,100,300,,N,0.5,3-5,"Built for everyday use in Kenya. Quality build, easy to use, ready for daily work. M‑Pesa friendly checkout and fast support on WhatsApp.","Built for everyday use in Kenya. Quality build, easy to use, ready for daily work. M‑Pesa friendly checkout and fast support on WhatsApp. It helps keep the phone visible, secure, and easier to use for navigation, calls, and quick stops on the road. A good holder is one of those small upgrades that quietly makes every drive better.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-ORA-1001228345\RT-HLD-ORA-1001228345-01-3.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-ORA-1001228345\RT-HLD-ORA-1001228345-01-6.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-ORA-1001228345\RT-HLD-ORA-1001228345-01.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-ORA-1001228345\RT-HLD-ORA-1001228345-06.jpg""",assets/img/products/oraimo-hydra-3-universal-car-phone-holder-+-gift-car-charger/,gripdrive-phone-holder,Oraimo Hydra 3 Universal Car Phone Holder + Gift Car Charger Oraimo Hydra 3 Universal Car Phone Holder (Long Arm) + Gift Car Charger accessories-car-mounts Black,✓ Ready,Y,RT-HLD-ORA-1001228345,10005553423
P008,Long Neck Car Phone Holder,Long Neck Car Phone Holder (New Model),accessories-car-mounts,https://www.kilimall.co.ke/listing/3092623,,,0.03,100,300,,N,0.5,3-5,"Built for everyday use in Kenya. Quality build, easy to use, ready for daily work. M‑Pesa friendly checkout and fast support on WhatsApp.","Built for everyday use in Kenya. Quality build, easy to use, ready for daily work. M‑Pesa friendly checkout and fast support on WhatsApp. It helps keep the phone visible, secure, and easier to use for navigation, calls, and quick stops on the road. A good holder is one of those small upgrades that quietly makes every drive better.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-3092623\RT-HLD-CAR-3092623-01-2.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-3092623\RT-HLD-CAR-3092623-01-4.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-3092623\RT-HLD-CAR-3092623-01-9.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-3092623\RT-HLD-CAR-3092623-01-11.jpg""",assets/img/products/long-neck-car-phone-holder/,gripdrive-phone-holder,Long Neck Car Phone Holder Long Neck Car Phone Holder (New Model) accessories-car-mounts Black,✓ Ready,Y,RT-HLD-CAR-3092623,20055044
P009,K20 Wireless Bluetooth Earbuds,K20 Wireless Bluetooth Earbuds (ENC Noise Cancelling),audio,https://www.kilimall.co.ke/listing/1001479819-K20-Wireless-Bluetooth-Earbuds-with-ENC-Noise-Cancelling-HiFi-Stereo-Bass-Sound-Smart-Touch-Controls-Long-Battery-Backup-Portable-Charging-Case-Ergonomic-InEar-Comfort-Waterproof-Design-Lightw,,,0.03,100,300,,N,0.5,3-5,"For clear voice, clean recordings, and zero “say that again” moments. Wireless + plug-and-play setup. M‑Pesa friendly checkout and fast supp","For clear voice, clean recordings, and zero “say that again” moments. Wireless + plug-and-play setup. M‑Pesa friendly checkout and fast support on WhatsApp. It balances comfort, simple pairing, and everyday listening so you can move from music to calls without friction. Good audio gear should disappear into the day and just work. That is the energy here.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-K20-1001479819\RT-AU-K20-1001479819\RT-AU-K20-1001479819-02.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-K20-1001479819\RT-AU-K20-1001479819\RT-AU-K20-1001479819-03.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-K20-1001479819\RT-AU-K20-1001479819\RT-AU-K20-1001479819-04.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-K20-1001479819\RT-AU-K20-1001479819\RT-AU-K20-1001479819-05.jpg""",assets/img/products/k20-wireless-bluetooth-earbuds/,pulsepods-wireless-earbuds-20w,K20 Wireless Bluetooth Earbuds K20 Wireless Bluetooth Earbuds (ENC Noise Cancelling) audio Black,✓ Ready,Y,RT-AU-K20-1001479819,10004228531
P010,"BL True Wireless Earbuds | Ultra-Comfort Fit | Deep Bass | 40H Battery Life | Smart Digital Display Case | Seamless Bluetooth Connection | “Hurt Never, Fall Never” Secure Fit","BL True Wireless Earbuds | Ultra-Comfort Fit | Deep Bass | 40H Battery Life | Smart Digital Display Case | Seamless Bluetooth Connection | “Hurt Never, Fall Never” Secure Fit",audio,https://www.kilimall.co.ke/listing/1001539968-Generic-Bluetooth-Earbuds-with-Deep-Bass,,,0.03,100,300,,N,0.5,3-5,"Clear voice, clean recordings, zero “say that again” moments. Wireless freedom with instant plug‑and‑play setup. M‑Pesa friendly checkout and fast delivery support.","JBL True Wireless Earbuds – Built for Everyday Champions
For clear voice, clean recordings, and zero “say that again” moments, these earbuds deliver studio‑grade sound wherever you go. Powered by deep bass drivers and noise‑isolating comfort tips, every call, track, or podcast comes through with crisp detail.
Forget tangled wires—just plug‑and‑play with seamless Bluetooth pairing. The digital display charging case keeps you in control, showing battery levels at a glance, while the 40‑hour battery life means you’ll never be caught off guard mid‑playlist or mid‑meeting.
Designed with the exclusive “Hurt Never, Fall Never” fit, these earbuds stay secure through workouts, commutes, and long listening sessions—comfort you can trust all day.
And because we know convenience matters, checkout is M‑Pesa friendly, with fast support on WhatsApp to keep your experience smooth from purchase to delivery.

Why you’ll love them:
🎵 Deep Bass + Clear Voice: Perfect for music lovers and professionals.
🔋 Long Battery Life: Up to 40 hours with case.
📱 Seamless Bluetooth Connection: Instant pairing, no fuss.
🎤 Clean Recordings: Great for creators, students, and meetings.
💯 Ultra‑Comfort Fit: Secure and pain‑free wear.
🛒 Easy Checkout: Local payment support + fast delivery.
","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-M10-1000082287\RT-AU-M10-1000082287-02.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-M10-1000082287\RT-AU-M10-1000082287-04.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-M10-1000082287\RT-AU-M10-1000082287-06.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-M10-1000082287\RT-AU-M10-1000082287-07.png""","assets/img/products/bl-true-wireless-earbuds-|-ultra-comfort-fit-|-deep-bass-|-40h-battery-life-|-smart-digital-display-case-|-seamless-bluetooth-connection-|-“hurt-never,-fall-never”-secure-fit/",pulsepods-wireless-earbuds,"BL True Wireless Earbuds | Ultra-Comfort Fit | Deep Bass | 40H Battery Life | Smart Digital Display Case | Seamless Bluetooth Connection | “Hurt Never, Fall Never” Secure Fit BL True Wireless Earbuds | Ultra-Comfort Fit | Deep Bass | 40H Battery Life | Smart Digital Display Case | Seamless Bluetooth Connection | “Hurt Never, Fall Never” Secure Fit audio Black",✓ Ready,Y,RT-AU-M10-1000082287,10004460323
