RTECH SPARTAN CODEX STORE OUTPUT — flat rows ready for your coded store / CSV thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not type here. This sheet turns the Variant Engine into frontend-friendly rows: one row per sellable variant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variant Row,Product ID,Product Family,Frontend Product Title,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,Variant SKU,Supplier SKU/ID,Category,Supplier URL,Price (KES),Compare At (KES),Profit (KES),Margin %,Stock Qty,Weight (lbs),Lead Time (days),Short Description,Long Description,Image1,Image2,Image3,Image4,Image Folder,Codex Handle,Group Search Blob,Launch Status,Notes,Dash_Blocker_Rank
1,P001,10 Inch Ring Light With 7ft Tripod Stand,10 Inch Ring Light With 7ft (210CM) Tripod Stand - white,Color,white,,,RT-P001-white,19048033,creator-gear,https://www.kilimall.co.ke/listing/2729104,"3,983","4,686",300,7.5%,50,0.5,3-5,"For creators who want clean shots and steady takes. Stable base for calls, photos, and content. Better lighting for pro-looking videos. M‑Pe","For creators who want clean shots and steady takes. Stable base for calls, photos, and content. Better lighting for pro-looking videos. M‑Pesa friendly checkout and fast support on WhatsApp. It is a simple win for creators, online sellers, and remote workers who want cleaner lighting without overcomplicating the setup. The tripod gives better placement freedom, while the light helps faces, products, and close shots look brighter and more polished.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-2729104\RT-LT-RL10-2729104-01.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-2729104\RT-LT-RL10-2729104-02.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-2729104\RT-LT-RL10-2729104-04.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-2729104\RT-LT-RL10-2729104-03.png""",,glowforge-creator-ring-light-kit-10inch,10 Inch Ring Light With 7ft Tripod Stand 10 Inch Ring Light With 7ft (210CM) Tripod Stand white 19048033 RT-P001-white,Ready,"Check images, stock, and price before pushing live.",
2,P002,Universal 14inch LED Ring Light + 2.1m Tripod Stand,Universal 14inch LED Ring Light + 2.1m Tripod Stand (YouTube/TikTok) - 14inch,Size,14inch,,,RT-P002-14inch,19904327,creator-gear,https://www.kilimall.co.ke/listing/3036323-14-Inch-RGB-Ring-Light-with-82-Tripod-2500K8500K-Dimmable-LED-RingLight-3-Color-Modes-10-Brightness-Level-for-YouTube-Live-TikTok-Video-Recording-14INCH,"4,806","5,654",300,6.2%,50,0.5,3-5,"For creators who want clean shots and steady takes. Stable base for calls, photos, and content. Better lighting for pro-looking videos. M‑Pe","For creators who want clean shots and steady takes. Stable base for calls, photos, and content. Better lighting for pro-looking videos. M‑Pesa friendly checkout and fast support on WhatsApp. It is a simple win for creators, online sellers, and remote workers who want cleaner lighting without overcomplicating the setup. The tripod gives better placement freedom, while the light helps faces, products, and close shots look brighter and more polished.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL14-3088147\RT-LT-RL14-3088147-01.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL14-3088147\RT-LT-RL14-3088147-03.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL14-3088147\RT-LT-RL14-3088147-04.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL14-3088147\RT-LT-RL14-3088147-02.png""",,glowforge-creator-ring-light-kit-14inch,Universal 14inch LED Ring Light + 2.1m Tripod Stand Universal 14inch LED Ring Light + 2.1m Tripod Stand (YouTube/TikTok) 14inch 19904327 RT-P002-14inch,Ready,"Check images, stock, and price before pushing live.",
3,P003,10 Inch Ring Light + 7ft Tripod,"10 Inch Ring Light + 7ft Tripod (3 Color Modes, 10 Brightness Levels) - Black",Color,Black,,,RT-P003-Black,19353815,creator-gear,https://www.kilimall.co.ke/listing/1001714545-10-Inch-Ring-Light-with-7ft-Adjustable-Tripod-Stand-3-Color-Modes-10-Brightness-Levels-Perfect-for-TikTok-YouTube-Live-Streaming-Makeup-Podcasts-Studio-Lighting-and-Video-Shooting,"2,302","2,708",300,13.0%,50,0.5,3-5,"For creators who want clean shots and steady takes. Stable base for calls, photos, and content. Better lighting for pro-looking videos. M‑Pe","For creators who want clean shots and steady takes. Stable base for calls, photos, and content. Better lighting for pro-looking videos. M‑Pesa friendly checkout and fast support on WhatsApp. It is a simple win for creators, online sellers, and remote workers who want cleaner lighting without overcomplicating the setup. The tripod gives better placement freedom, while the light helps faces, products, and close shots look brighter and more polished.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-1001714545\RT-LT-RL10-1001714545-06.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-1001714545\RT-LT-RL10-1001714545-04-2.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-1001714545\RT-LT-RL10-1001714545-04-1.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-LT-RL10-1001714545\RT-LT-RL10-1001714545-05.png""",,glowforge-creator-ring-light-kit-10inch,"10 Inch Ring Light + 7ft Tripod 10 Inch Ring Light + 7ft Tripod (3 Color Modes, 10 Brightness Levels) Black 19353815 RT-P003-Black",Ready,"Check images, stock, and price before pushing live.",
4,P004,Heavy Duty Tripod Stand For Camera & Phones With Phone Holder - 1.2 Meters Tall Tripod,Heavy Duty Tripod Stand For Camera & Phones With Phone Holder - 1.2 Meters Tall Tripod - Black,Color,Black,,,RT-P004-Black,19578108,creator-gear,https://www.kilimall.co.ke/listing/2910043-Tripod-Stand-For-Camera-Phones-With-Phone-Holder-12-Meters-Tall-Tripod,"2,495","2,935",300,12.0%,50,0.5,3-5,"For creators who want clean shots and steady takes. Stable base for calls, photos, and content. M‑Pesa friendly checkout and fast support on","For creators who want clean shots and steady takes. Stable base for calls, photos, and content. M‑Pesa friendly checkout and fast support on WhatsApp. It helps keep the phone visible, secure, and easier to use for navigation, calls, and quick stops on the road. A good holder is one of those small upgrades that quietly makes every drive better.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-HD-1001451835\RT-TR-HD-1001451835-01.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-HD-1001451835\RT-TR-HD-1001451835-02.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-HD-1001451835\RT-TR-HD-1001451835-04.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-HD-1001451835\RT-TR-HD-1001451835-01.png""",,steadycore-pro-tripod-stand,Heavy Duty Tripod Stand For Camera & Phones With Phone Holder - 1.2 Meters Tall Tripod Heavy Duty Tripod Stand For Camera & Phones With Phone Holder - 1.2 Meters Tall Tripod Black 19578108 RT-P004-Black,Ready,"Check images, stock, and price before pushing live.",
5,P005,3366 Phone/SLR Camera Tripod Stand Max Height 1.4M,3366 Phone/SLR Camera Tripod Stand Max Height 1.4M - Black,Color,Black,,,RT-P005-Black,18765011,creator-gear,https://www.kilimall.co.ke/listing/2713243,"3,468","4,080",300,8.7%,50,0.5,3-5,"For creators who want clean shots and steady takes. Stable base for calls, photos, and content. M‑Pesa friendly checkout and fast support on","For creators who want clean shots and steady takes. Stable base for calls, photos, and content. M‑Pesa friendly checkout and fast support on WhatsApp. It is designed to make daily use feel easier, cleaner, and more reliable, whether the product lives on a desk, in a bag, in a car, or on the move. The idea is simple: practical gear, better value, and a setup that feels thought through instead of rushed.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-3366-2713243\RT-TR-3366-2713243-01.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-3366-2713243\RT-TR-3366-2713243-02.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-3366-2713243\RT-TR-3366-2713243-04.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\creator gear\Lighting\RT-TR-3366-2713243\RT-TR-3366-2713243-05.png""",,steadycore-pro-tripod-stand,3366 Phone/SLR Camera Tripod Stand Max Height 1.4M 3366 Phone/SLR Camera Tripod Stand Max Height 1.4M Black 18765011 RT-P005-Black,Ready,"Check images, stock, and price before pushing live.",
6,P006,Car Suction Cup Phone Holder,"Car Suction Cup Phone Holder (Long Neck, Dashboard/Windshield) - Black",Color,Black,,,RT-P006-Black,10000380328,accessories-car-mounts,https://www.kilimall.co.ke/listing/1000154228,"1,882","2,214",300,15.9%,50,0.5,3-5,"Built for everyday use in Kenya. Quality build, easy to use, ready for daily work. M‑Pesa friendly checkout and fast support on WhatsApp.","Built for everyday use in Kenya. Quality build, easy to use, ready for daily work. M‑Pesa friendly checkout and fast support on WhatsApp. It helps keep the phone visible, secure, and easier to use for navigation, calls, and quick stops on the road. A good holder is one of those small upgrades that quietly makes every drive better.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-1000154228\RT-HLD-CAR-1000154228-01-3.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-1000154228\RT-HLD-CAR-1000154228-01-06.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-1000154228\RT-HLD-CAR-1000154228-02-2.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-1000154228\RT-HLD-CAR-1000154228-02.jpg""",,gripdrive-phone-holder,"Car Suction Cup Phone Holder Car Suction Cup Phone Holder (Long Neck, Dashboard/Windshield) Black 10000380328 RT-P006-Black",Ready,"Check images, stock, and price before pushing live.",
7,P007,Oraimo Hydra 3 Universal Car Phone Holder + Gift Car Charger,Oraimo Hydra 3 Universal Car Phone Holder (Long Arm) + Gift Car Charger - Black,Color,Black,,,RT-P007-Black,10005553423,accessories-car-mounts,https://www.kilimall.co.ke/listing/1001760680-SPECIAL-OFFER-Oraimo-Hydra-3-Stable-Safe-Universal-Car-Phone-Holder-Long-Arm360Adjustable-Magnet-HeadCompatible-with-Phones-of-Various-Sizes-with-a-GIFT-of-Oraimo-Highway-15-155W-Car-Charger,"2,952","3,473",300,10.2%,50,0.5,3-5,"Built for everyday use in Kenya. Quality build, easy to use, ready for daily work. M‑Pesa friendly checkout and fast support on WhatsApp.","Built for everyday use in Kenya. Quality build, easy to use, ready for daily work. M‑Pesa friendly checkout and fast support on WhatsApp. It helps keep the phone visible, secure, and easier to use for navigation, calls, and quick stops on the road. A good holder is one of those small upgrades that quietly makes every drive better.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-ORA-1001228345\RT-HLD-ORA-1001228345-01-3.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-ORA-1001228345\RT-HLD-ORA-1001228345-01-6.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-ORA-1001228345\RT-HLD-ORA-1001228345-01.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-ORA-1001228345\RT-HLD-ORA-1001228345-06.jpg""",,gripdrive-phone-holder,Oraimo Hydra 3 Universal Car Phone Holder + Gift Car Charger Oraimo Hydra 3 Universal Car Phone Holder (Long Arm) + Gift Car Charger Black 10005553423 RT-P007-Black,Ready,"Check images, stock, and price before pushing live.",
8,P008,Long Neck Car Phone Holder,Long Neck Car Phone Holder (New Model) - Black,Color,Black,,,RT-P008-Black,20055044,accessories-car-mounts,https://www.kilimall.co.ke/listing/3092623,"1,872","2,202",301,16.1%,50,0.5,3-5,"Built for everyday use in Kenya. Quality build, easy to use, ready for daily work. M‑Pesa friendly checkout and fast support on WhatsApp.","Built for everyday use in Kenya. Quality build, easy to use, ready for daily work. M‑Pesa friendly checkout and fast support on WhatsApp. It helps keep the phone visible, secure, and easier to use for navigation, calls, and quick stops on the road. A good holder is one of those small upgrades that quietly makes every drive better.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-3092623\RT-HLD-CAR-3092623-01-2.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-3092623\RT-HLD-CAR-3092623-01-4.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-3092623\RT-HLD-CAR-3092623-01-9.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\accessories\RT-HLD-CAR-3092623\RT-HLD-CAR-3092623-01-11.jpg""",,gripdrive-phone-holder,Long Neck Car Phone Holder Long Neck Car Phone Holder (New Model) Black 20055044 RT-P008-Black,Ready,"Check images, stock, and price before pushing live.",
9,P009,K20 Wireless Bluetooth Earbuds,K20 Wireless Bluetooth Earbuds (ENC Noise Cancelling) - Black,Color,Black,,,RT-P009-Black,10004228531,audio,https://www.kilimall.co.ke/listing/1001479819-K20-Wireless-Bluetooth-Earbuds-with-ENC-Noise-Cancelling-HiFi-Stereo-Bass-Sound-Smart-Touch-Controls-Long-Battery-Backup-Portable-Charging-Case-Ergonomic-InEar-Comfort-Waterproof-Design-Lightw,"1,985","2,335",300,15.1%,50,0.5,3-5,"For clear voice, clean recordings, and zero “say that again” moments. Wireless + plug-and-play setup. M‑Pesa friendly checkout and fast supp","For clear voice, clean recordings, and zero “say that again” moments. Wireless + plug-and-play setup. M‑Pesa friendly checkout and fast support on WhatsApp. It balances comfort, simple pairing, and everyday listening so you can move from music to calls without friction. Good audio gear should disappear into the day and just work. That is the energy here.","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-K20-1001479819\RT-AU-K20-1001479819\RT-AU-K20-1001479819-02.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-K20-1001479819\RT-AU-K20-1001479819\RT-AU-K20-1001479819-03.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-K20-1001479819\RT-AU-K20-1001479819\RT-AU-K20-1001479819-04.jpg""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-K20-1001479819\RT-AU-K20-1001479819\RT-AU-K20-1001479819-05.jpg""",,pulsepods-wireless-earbuds-20w,K20 Wireless Bluetooth Earbuds K20 Wireless Bluetooth Earbuds (ENC Noise Cancelling) Black 10004228531 RT-P009-Black,Ready,"Check images, stock, and price before pushing live.",
10,P010,"BL True Wireless Earbuds | Ultra-Comfort Fit | Deep Bass | 40H Battery Life | Smart Digital Display Case | Seamless Bluetooth Connection | “Hurt Never, Fall Never” Secure Fit","BL True Wireless Earbuds | Ultra-Comfort Fit | Deep Bass | 40H Battery Life | Smart Digital Display Case | Seamless Bluetooth Connection | “Hurt Never, Fall Never” Secure Fit - Black",Color,Black,,,RT-P010-Black,10004460323,audio,https://www.kilimall.co.ke/listing/1001539968-Generic-Bluetooth-Earbuds-with-Deep-Bass,"1,666","1,960",301,18.1%,50,0.5,3-5,"Clear voice, clean recordings, zero “say that again” moments. Wireless freedom with instant plug‑and‑play setup. M‑Pesa friendly checkout and fast delivery support.","JBL True Wireless Earbuds – Built for Everyday Champions
For clear voice, clean recordings, and zero “say that again” moments, these earbuds deliver studio‑grade sound wherever you go. Powered by deep bass drivers and noise‑isolating comfort tips, every call, track, or podcast comes through with crisp detail.
Forget tangled wires—just plug‑and‑play with seamless Bluetooth pairing. The digital display charging case keeps you in control, showing battery levels at a glance, while the 40‑hour battery life means you’ll never be caught off guard mid‑playlist or mid‑meeting.
Designed with the exclusive “Hurt Never, Fall Never” fit, these earbuds stay secure through workouts, commutes, and long listening sessions—comfort you can trust all day.
And because we know convenience matters, checkout is M‑Pesa friendly, with fast support on WhatsApp to keep your experience smooth from purchase to delivery.

Why you’ll love them:
🎵 Deep Bass + Clear Voice: Perfect for music lovers and professionals.
🔋 Long Battery Life: Up to 40 hours with case.
📱 Seamless Bluetooth Connection: Instant pairing, no fuss.
🎤 Clean Recordings: Great for creators, students, and meetings.
💯 Ultra‑Comfort Fit: Secure and pain‑free wear.
🛒 Easy Checkout: Local payment support + fast delivery.
","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-M10-1000082287\RT-AU-M10-1000082287-02.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-M10-1000082287\RT-AU-M10-1000082287-04.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-M10-1000082287\RT-AU-M10-1000082287-06.png""","""C:\rtech-gear\assets\img\R-Tech Gear.🦉\audio\RT-AU-M10-1000082287\RT-AU-M10-1000082287-07.png""",,pulsepods-wireless-earbuds,"BL True Wireless Earbuds | Ultra-Comfort Fit | Deep Bass | 40H Battery Life | Smart Digital Display Case | Seamless Bluetooth Connection | “Hurt Never, Fall Never” Secure Fit BL True Wireless Earbuds | Ultra-Comfort Fit | Deep Bass | 40H Battery Life | Smart Digital Display Case | Seamless Bluetooth Connection | “Hurt Never, Fall Never” Secure Fit Black 10004460323 RT-P010-Black",Ready,"Check images, stock, and price before pushing live.",
